timestamp, humidity, temperature, moisture
08:26:14.664, h=37.0,t=20.5,moisture0=1392.0
08:26:16.677, h=37.0,t=20.5,moisture0=1394.0
08:26:18.663, h=37.0,t=20.5,moisture0=1391.0
08:26:20.673, h=37.0,t=20.5,moisture0=1392.0
08:26:22.654, h=37.0,t=20.5,moisture0=1392.0
08:26:24.672, h=37.1,t=20.5,moisture0=1392.0
08:26:26.680, h=37.1,t=20.5,moisture0=1392.0
08:26:28.690, h=37.1,t=20.6,moisture0=1394.0
08:26:30.673, h=37.1,t=20.6,moisture0=1394.0
08:26:32.686, h=37.1,t=20.6,moisture0=694.0
08:26:34.700, h=37.1,t=20.6,moisture0=400.0
08:26:36.707, h=37.1,t=20.6,moisture0=319.0
08:26:38.691, h=37.1,t=20.6,moisture0=303.0
08:26:40.707, h=37.4,t=20.6,moisture0=288.0
08:26:42.686, h=37.4,t=20.6,moisture0=285.0
08:26:44.700, h=37.7,t=20.5,moisture0=278.0
08:26:46.719, h=37.7,t=20.5,moisture0=273.0
08:26:48.702, h=37.9,t=20.6,moisture0=244.0
08:26:50.714, h=37.9,t=20.6,moisture0=240.0
08:26:52.724, h=38.0,t=20.6,moisture0=229.0
08:26:54.706, h=38.0,t=20.6,moisture0=220.0
08:26:56.721, h=38.0,t=20.6,moisture0=224.0
08:26:58.735, h=38.0,t=20.6,moisture0=222.0
08:27:00.723, h=38.1,t=20.6,moisture0=220.0
08:27:02.735, h=38.1,t=20.6,moisture0=208.0
08:27:04.744, h=38.0,t=20.6,moisture0=218.0
08:27:06.724, h=38.0,t=20.6,moisture0=230.0
08:27:08.733, h=37.8,t=20.6,moisture0=237.0
08:27:10.745, h=37.8,t=20.6,moisture0=237.0
08:27:12.754, h=37.7,t=20.6,moisture0=253.0
08:27:14.734, h=37.7,t=20.6,moisture0=243.0
08:27:16.749, h=37.7,t=20.6,moisture0=272.0
08:27:18.766, h=37.7,t=20.6,moisture0=262.0
08:27:20.749, h=37.5,t=20.6,moisture0=278.0
08:27:22.763, h=37.5,t=20.6,moisture0=274.0
08:27:24.773, h=37.5,t=20.6,moisture0=286.0
08:27:26.757, h=37.5,t=20.6,moisture0=289.0
08:27:28.768, h=37.5,t=20.6,moisture0=287.0
08:27:30.782, h=37.5,t=20.6,moisture0=277.0
08:27:32.792, h=37.5,t=20.6,moisture0=280.0
08:27:34.770, h=37.5,t=20.6,moisture0=280.0
08:27:36.782, h=37.4,t=20.6,moisture0=301.0
08:27:38.799, h=37.4,t=20.6,moisture0=302.0
08:27:40.777, h=37.3,t=20.6,moisture0=318.0
08:27:42.786, h=37.3,t=20.6,moisture0=315.0
08:27:44.797, h=37.4,t=20.6,moisture0=315.0
08:27:46.780, h=37.4,t=20.6,moisture0=315.0
08:27:48.797, h=37.5,t=20.6,moisture0=327.0
